var1,var2,abs_corr
Attr14,Attr18,1.0
Attr7,Attr14,1.0
Attr7,Attr18,1.0
Attr56,Attr58,0.9999999998731294
Attr20,Attr56,0.9999962419983054
Attr20,Attr58,0.9999962418203338
Attr10,Attr38,0.9999902286267423
Attr19,Attr31,0.9999868211501183
Attr43,Attr44,0.9999561902349368
Attr53,Attr54,0.9999168607588876
Attr9,Attr36,0.999915626302367
Attr39,Attr42,0.9998701166488747
Attr30,Attr49,0.9997819279983033
Attr30,Attr44,0.9997643229524096
Attr20,Attr43,0.9996329482603812
Attr43,Attr58,0.9995591145360766
Attr43,Attr56,0.9995591145091965
Attr30,Attr43,0.9995284496235882
Attr20,Attr44,0.9993355631948303
Attr44,Attr58,0.9992375304672326
Attr44,Attr56,0.9992375303695847
Attr44,Attr49,0.9991732623522814
Attr3,Attr51,0.9991356349074125
Attr43,Attr49,0.9987590631792388
Attr20,Attr30,0.9983521446340242
